FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR_OF_MANUFACTURE,MANUFACTURER,ICAO_TYPE,ACTIVE_WEATHER
44562,18,AA,2772,N317PG,JFK,AUS,2022-01-01,18:24:00,2022-01-01,18:29:00,22,-5,231,0,2017,Boeing,B738,1
44562,0,AA,2813,N967NN,JFK,AUS,2022-01-01,0:00:00,2022-01-01,8:00:00,0,0,0,1,2015,Boeing,B738,
44562,16,YX,4531,N431YX,JFK,RDU,2022-01-01,16:58:00,2022-01-01,17:10:00,21,-12,74,0,2014,Embraer,E75L,1
44562,10,YX,4628,N101HQ,JFK,RDU,2022-01-01,10:54:00,2022-01-01,11:00:00,24,-6,73,0,2007,Embraer,E75L,1
44562,0,B6,285,N346JB,JFK,RDU,2022-01-01,0:00:00,2022-01-01,8:40:00,0,0,0,1,2011,Embraer,E190,
44562,17,B6,295,N703JB,JFK,AUS,2022-01-01,17:20:00,2022-01-01,11:29:00,18,351,227,0,2008,Airbus,A320,1
44562,22,B6,385,N309JB,JFK,RDU,2022-01-01,22:22:00,2022-01-01,21:35:00,28,47,77,0,2009,Embraer,E190,1
44562,8,B6,795,N974JT,JFK,AUS,2022-01-01,8:10:00,2022-01-01,6:59:00,39,71,238,0,2016,Airbus,A321,0
44562,0,B6,97,N975JT,JFK,DEN,2022-01-01,0:18:00,2022-01-01,20:00:00,16,258,240,0,2017,Airbus,A321,
44562,0,DL,1077,N876DN,JFK,DEN,2022-01-01,0:00:00,2022-01-01,19:59:00,0,0,0,1,2017,Boeing,B739,
44562,8,9E,5078,N908XJ,JFK,RDU,2022-01-01,8:14:00,2022-01-01,8:20:00,17,-6,77,0,2007,Bombardier,CRJ9,0
44562,19,9E,5247,N337PQ,JFK,RDU,2022-01-01,19:39:00,2022-01-01,19:40:00,19,-1,78,0,2014,Bombardier,CRJ9,1
44562,15,YX,5816,N218JQ,JFK,RDU,2022-01-01,15:17:00,2022-01-01,15:20:00,24,-3,74,0,2007,Embraer,E75L,1
44562,8,DL,659,N113DQ,JFK,AUS,2022-01-01,8:49:00,2022-01-01,8:00:00,20,49,233,0,2019,Airbus,BCS1,0
44563,18,AA,2772,N935NN,JFK,AUS,2022-01-02,18:29:00,2022-01-02,18:29:00,17,0,234,0,2013,Boeing,B738,0
44563,7,AA,2813,N803NN,JFK,AUS,2022-01-02,7:56:00,2022-01-02,8:00:00,23,-4,243,0,2009,Boeing,B738,1
44563,16,YX,4531,N401YX,JFK,RDU,2022-01-02,16:57:00,2022-01-02,17:00:00,28,-3,88,0,2013,Embraer,E75L,1
44563,22,YX,4533,N447YX,JFK,RDU,2022-01-02,22:47:00,2022-01-02,21:50:00,18,57,81,0,2015,Embraer,E75L,0
44563,12,YX,4628,N426YX,JFK,RDU,2022-01-02,12:23:00,2022-01-02,12:30:00,21,-7,91,0,2014,Embraer,E75L,1
44563,15,YX,4734,N435YX,JFK,RDU,2022-01-02,15:02:00,2022-01-02,15:10:00,43,-8,92,0,2014,Embraer,E75L,1
44563,9,B6,285,N206JB,JFK,RDU,2022-01-02,9:28:00,2022-01-02,8:40:00,26,48,78,0,2006,Embraer,E190,0
44563,11,B6,295,N564JB,JFK,AUS,2022-01-02,11:44:00,2022-01-02,11:29:00,21,15,244,0,2003,Airbus,A320,1
44563,0,B6,385,N183JB,JFK,RDU,2022-01-02,0:53:00,2022-01-02,21:35:00,17,198,77,0,2005,Embraer,E190,1
44563,0,B6,795,N510JB,JFK,AUS,2022-01-02,0:00:00,2022-01-02,9:59:00,0,0,0,1,2000,Airbus,A320,1
44563,20,B6,97,N905JB,JFK,DEN,2022-01-02,20:01:00,2022-01-02,20:00:00,30,1,244,0,2013,Airbus,A321,0
44563,19,DL,1077,N837DN,JFK,DEN,2022-01-02,19:57:00,2022-01-02,19:59:00,32,-2,238,0,2015,Boeing,B739,0
44563,8,DL,1170,N837MH,JFK,DEN,2022-01-02,8:53:00,2022-01-02,8:59:00,29,-6,241,0,2000,Boeing,B764,1
44563,12,DL,1175,N106DU,JFK,AUS,2022-01-02,12:53:00,2022-01-02,13:00:00,24,-7,244,0,2019,Airbus,BCS1,1
44563,8,9E,5078,N931XJ,JFK,RDU,2022-01-02,8:15:00,2022-01-02,8:20:00,27,-5,76,0,2008,Bombardier,CRJ9,1
44563,13,9E,5113,N298PQ,JFK,RDU,2022-01-02,13:02:00,2022-01-02,12:00:00,18,62,98,0,2013,Bombardier,CRJ9,1
44563,19,9E,5247,N200PQ,JFK,RDU,2022-01-02,19:41:00,2022-01-02,19:40:00,30,1,80,0,2008,Bombardier,CRJ9,0
44563,18,YX,5816,N229JQ,JFK,RDU,2022-01-02,18:27:00,2022-01-02,15:20:00,20,187,85,0,2008,Embraer,E75L,0
44563,7,DL,659,N103DU,JFK,AUS,2022-01-02,7:54:00,2022-01-02,8:00:00,28,-6,254,0,2018,Airbus,BCS1,1
44564,18,AA,2772,N946AN,JFK,AUS,2022-01-03,18:30:00,2022-01-03,18:29:00,14,1,213,0,2000,Boeing,B738,0
44564,7,AA,2813,N820NN,JFK,AUS,2022-01-03,7:54:00,2022-01-03,8:00:00,22,-6,219,0,2009,Boeing,B738,0
44564,19,YX,4531,N128HQ,JFK,RDU,2022-01-03,19:52:00,2022-01-03,17:00:00,19,172,72,0,2008,Embraer,E75L,0
44564,21,YX,4533,N409YX,JFK,RDU,2022-01-03,21:49:00,2022-01-03,21:50:00,17,-1,79,0,2013,Embraer,E75L,0
44564,16,YX,4628,N124HQ,JFK,RDU,2022-01-03,16:15:00,2022-01-03,12:30:00,32,225,76,0,2007,Embraer,E75L,0
44564,15,YX,4734,N435YX,JFK,RDU,2022-01-03,15:49:00,2022-01-03,15:10:00,48,39,72,0,2014,Embraer,E75L,0
44564,0,B6,285,N284JB,JFK,RDU,2022-01-03,0:00:00,2022-01-03,8:40:00,0,0,0,1,2008,Embraer,E190,1
44564,11,B6,295,N629JB,JFK,AUS,2022-01-03,11:04:00,2022-01-03,11:03:00,17,1,206,0,2005,Airbus,A320,0
44564,22,B6,385,N307JB,JFK,RDU,2022-01-03,22:25:00,2022-01-03,21:35:00,19,50,72,0,2009,Embraer,E190,0
44564,7,B6,795,N794JB,JFK,AUS,2022-01-03,7:34:00,2022-01-03,6:59:00,18,35,214,0,2011,Airbus,A320,0
44564,23,B6,97,N966JT,JFK,DEN,2022-01-03,23:18:00,2022-01-03,20:00:00,0,198,0,1,2016,Airbus,A321,0
44564,20,DL,1077,N893DN,JFK,DEN,2022-01-03,20:33:00,2022-01-03,19:59:00,19,34,239,0,2018,Boeing,B739,0
44564,9,DL,1170,N828MH,JFK,DEN,2022-01-03,9:42:00,2022-01-03,8:59:00,19,43,228,0,2000,Boeing,B764,0
44564,13,DL,1175,N113DQ,JFK,AUS,2022-01-03,13:01:00,2022-01-03,13:00:00,22,1,206,0,2019,Airbus,BCS1,0
44564,9,9E,5078,N909XJ,JFK,RDU,2022-01-03,9:20:00,2022-01-03,8:20:00,27,60,86,0,2007,Bombardier,CRJ9,0
44564,16,9E,5113,N336PQ,JFK,RDU,2022-01-03,16:30:00,2022-01-03,12:00:00,30,270,74,0,2014,Bombardier,CRJ9,0
44564,20,9E,5247,N931XJ,JFK,RDU,2022-01-03,20:06:00,2022-01-03,19:40:00,18,26,73,0,2008,Bombardier,CRJ9,0
44564,15,YX,5816,N231JQ,JFK,RDU,2022-01-03,15:44:00,2022-01-03,15:20:00,29,24,80,0,2008,Embraer,E75L,0
44564,7,DL,659,N127DU,JFK,AUS,2022-01-03,7:55:00,2022-01-03,8:00:00,32,-5,215,0,2019,Airbus,BCS1,0
44565,17,AA,2772,N335PH,JFK,AUS,2022-01-04,17:25:00,2022-01-04,17:29:00,17,-4,217,0,2017,Boeing,B738,0
44565,7,AA,2813,N878NN,JFK,AUS,2022-01-04,7:56:00,2022-01-04,8:00:00,19,-4,211,0,2011,Boeing,B738,0
44565,14,YX,4503,N138HQ,JFK,RDU,2022-01-04,14:20:00,2022-01-04,14:30:00,20,-10,71,0,2008,Embraer,E75L,0
44565,16,YX,4540,N120HQ,JFK,RDU,2022-01-04,16:35:00,2022-01-04,16:45:00,23,-10,77,0,2007,Embraer,E75L,0
44565,12,YX,4628,N428YX,JFK,RDU,2022-01-04,12:56:00,2022-01-04,13:00:00,27,-4,74,0,2014,Embraer,E75L,0
44565,7,YX,4926,N105HQ,JFK,RDU,2022-01-04,7:40:00,2022-01-04,7:40:00,29,0,76,0,2007,Embraer,E75L,0
44565,8,B6,285,N368JB,JFK,RDU,2022-01-04,8:38:00,2022-01-04,8:40:00,23,-2,72,0,2013,Embraer,E190,0
44565,11,B6,295,N605JB,JFK,AUS,2022-01-04,11:33:00,2022-01-04,11:29:00,14,4,207,0,2005,Airbus,A320,0
44565,22,B6,385,N373JB,JFK,RDU,2022-01-04,22:06:00,2022-01-04,21:35:00,14,31,67,0,2013,Embraer,E190,0
