FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
1/1/2022,18,AA,2772,AA,2772,N317PG,JFK,AUS,1/1/2022 18:24,1/1/2022 18:29,22,-5,231,1521,0,40.64,-73.77861,13,JFK,2017,Boeing,B738,Medium Range,Narrow-body,200,5,0,0.25,10.61,10.61,100,29.76,200,1,1,0,0,4,1
1/1/2022,0,AA,2813,AA,2813,N967NN,JFK,AUS,1/1/2022 0:00,1/1/2022 8:00,0,0,0,1521,1,40.64,-73.77861,13,JFK,2015,Boeing,B738,Medium Range,Narrow-body,,,,,,,,,,,,,,,
1/1/2022,16,AA,4531,YX,4531,N431YX,JFK,RDU,1/1/2022 16:58,1/1/2022 17:10,21,-12,74,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,190,9,0,0.5,10,10,100,29.83,300,2,1,1,0,4,1
1/1/2022,10,AA,4628,YX,4628,N101HQ,JFK,RDU,1/1/2022 10:54,1/1/2022 11:00,24,-6,73,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,150,6,0,0.25,10,9.39,95.98,29.86,200,1,1,0,0,0,1
1/1/2022,0,B6,285,B6,285,N346JB,JFK,RDU,1/1/2022 0:00,1/1/2022 8:40,0,0,0,427,1,40.64,-73.77861,13,JFK,2011,Embraer,E190,Short Range,Narrow-body,,,,,,,,,,,,,,,
1/1/2022,17,B6,295,B6,295,N703JB,JFK,AUS,1/1/2022 17:20,1/1/2022 11:29,18,351,227,1521,0,40.64,-73.77861,13,JFK,2008,Airbus,A320,Medium Range,Narrow-body,180,8,0,0.25,10.61,10.61,100,29.79,300,2,1,1,0,4,1
1/1/2022,22,B6,385,B6,385,N309JB,JFK,RDU,1/1/2022 22:22,1/1/2022 21:35,28,47,77,427,0,40.64,-73.77861,13,JFK,2009,Embraer,E190,Short Range,Narrow-body,200,4,0,0.25,10.61,10.61,100,29.73,300,1,1,0,0,0,1
1/1/2022,8,B6,795,B6,795,N974JT,JFK,AUS,1/1/2022 8:10,1/1/2022 6:59,39,71,238,1521,0,40.64,-73.77861,13,JFK,2016,Airbus,A321,Medium Range,Narrow-body,130,5,0,10,9.39,8.89,96.69,29.91,1000,2,1,0,0,4,0
1/1/2022,0,B6,97,B6,97,N975JT,JFK,DEN,1/1/2022 0:18,1/1/2022 20:00,16,258,240,1626,0,40.64,-73.77861,13,JFK,2017,Airbus,A321,Medium Range,Narrow-body,,,,,,,,,,,,,,,
1/1/2022,0,DL,1077,DL,1077,N876DN,JFK,DEN,1/1/2022 0:00,1/1/2022 19:59,0,0,0,1626,1,40.64,-73.77861,13,JFK,2017,Boeing,B739,Medium Range,Narrow-body,,,,,,,,,,,,,,,
