FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
44562,18,AA,2772,N317PG,JFK,AUS,1/1/2022,6:24:00 PM,1/1/2022,6:29:00 PM,22,-5,231,0,2017,Boeing,B738,1
44562,0,AA,2813,N967NN,JFK,AUS,1/1/2022,12:00:00 AM,1/1/2022,8:00:00 AM,0,0,0,1,2015,Boeing,B738,
44562,16,YX,4531,N431YX,JFK,RDU,1/1/2022,4:58:00 PM,1/1/2022,5:10:00 PM,21,-12,74,0,2014,Embraer,E75L,1
44562,10,YX,4628,N101HQ,JFK,RDU,1/1/2022,10:54:00 AM,1/1/2022,11:00:00 AM,24,-6,73,0,2007,Embraer,E75L,1
44562,0,B6,285,N346JB,JFK,RDU,1/1/2022,12:00:00 AM,1/1/2022,8:40:00 AM,0,0,0,1,2011,Embraer,E190,
44562,17,B6,295,N703JB,JFK,AUS,1/1/2022,5:20:00 PM,1/1/2022,11:29:00 AM,18,351,227,0,2008,Airbus,A320,1
44562,22,B6,385,N309JB,JFK,RDU,1/1/2022,10:22:00 PM,1/1/2022,9:35:00 PM,28,47,77,0,2009,Embraer,E190,1
44562,8,B6,795,N974JT,JFK,AUS,1/1/2022,8:10:00 AM,1/1/2022,6:59:00 AM,39,71,238,0,2016,Airbus,A321,0
44562,0,B6,97,N975JT,JFK,DEN,1/1/2022,12:18:00 AM,1/1/2022,8:00:00 PM,16,258,240,0,2017,Airbus,A321,
44562,0,DL,1077,N876DN,JFK,DEN,1/1/2022,12:00:00 AM,1/1/2022,7:59:00 PM,0,0,0,1,2017,Boeing,B739,
44562,8,9E,5078,N908XJ,JFK,RDU,1/1/2022,8:14:00 AM,1/1/2022,8:20:00 AM,17,-6,77,0,2007,Bombardier,CRJ9,0
44562,19,9E,5247,N337PQ,JFK,RDU,1/1/2022,7:39:00 PM,1/1/2022,7:40:00 PM,19,-1,78,0,2014,Bombardier,CRJ9,1
