FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/1/2022,18,AA,2772,N317PG,JFK,AUS,1/1/2022 18:24,1/1/2022 18:29,22,-5,231,0,2017,Boeing,B738,1
1/1/2022,0,AA,2813,N967NN,JFK,AUS,1/1/2022 0:00,1/1/2022 8:00,0,0,0,1,2015,Boeing,B738,
1/1/2022,16,YX,4531,N431YX,JFK,RDU,1/1/2022 16:58,1/1/2022 17:10,21,-12,74,0,2014,Embraer,E75L,1
1/1/2022,10,YX,4628,N101HQ,JFK,RDU,1/1/2022 10:54,1/1/2022 11:00,24,-6,73,0,2007,Embraer,E75L,1
1/1/2022,0,B6,285,N346JB,JFK,RDU,1/1/2022 0:00,1/1/2022 8:40,0,0,0,1,2011,Embraer,E190,
1/1/2022,17,B6,295,N703JB,JFK,AUS,1/1/2022 17:20,1/1/2022 11:29,18,351,227,0,2008,Airbus,A320,1
1/1/2022,22,B6,385,N309JB,JFK,RDU,1/1/2022 22:22,1/1/2022 21:35,28,47,77,0,2009,Embraer,E190,1
1/1/2022,8,B6,795,N974JT,JFK,AUS,1/1/2022 8:10,1/1/2022 6:59,39,71,238,0,2016,Airbus,A321,0
1/1/2022,0,B6,97,N975JT,JFK,DEN,1/1/2022 0:18,1/1/2022 20:00,16,258,240,0,2017,Airbus,A321,
1/1/2022,0,DL,1077,N876DN,JFK,DEN,1/1/2022 0:00,1/1/2022 19:59,0,0,0,1,2017,Boeing,B739,
1/1/2022,8,9E,5078,N908XJ,JFK,RDU,1/1/2022 8:14,1/1/2022 8:20,17,-6,77,0,2007,Bombardier,CRJ9,0
1/1/2022,19,9E,5247,N337PQ,JFK,RDU,1/1/2022 19:39,1/1/2022 19:40,19,-1,78,0,2014,Bombardier,CRJ9,1
1/1/2022,15,YX,5816,N218JQ,JFK,RDU,1/1/2022 15:17,1/1/2022 15:20,24,-3,74,0,2007,Embraer,E75L,1
1/1/2022,8,DL,659,N113DQ,JFK,AUS,1/1/2022 8:49,1/1/2022 8:00,20,49,233,0,2019,Airbus,BCS1,0
1/2/2022,18,AA,2772,N935NN,JFK,AUS,1/2/2022 18:29,1/2/2022 18:29,17,0,234,0,2013,Boeing,B738,0
1/2/2022,7,AA,2813,N803NN,JFK,AUS,1/2/2022 7:56,1/2/2022 8:00,23,-4,243,0,2009,Boeing,B738,1
1/2/2022,16,YX,4531,N401YX,JFK,RDU,1/2/2022 16:57,1/2/2022 17:00,28,-3,88,0,2013,Embraer,E75L,1
1/2/2022,22,YX,4533,N447YX,JFK,RDU,1/2/2022 22:47,1/2/2022 21:50,18,57,81,0,2015,Embraer,E75L,0
1/2/2022,12,YX,4628,N426YX,JFK,RDU,1/2/2022 12:23,1/2/2022 12:30,21,-7,91,0,2014,Embraer,E75L,1
1/2/2022,15,YX,4734,N435YX,JFK,RDU,1/2/2022 15:02,1/2/2022 15:10,43,-8,92,0,2014,Embraer,E75L,1
1/2/2022,9,B6,285,N206JB,JFK,RDU,1/2/2022 9:28,1/2/2022 8:40,26,48,78,0,2006,Embraer,E190,0
1/2/2022,11,B6,295,N564JB,JFK,AUS,1/2/2022 11:44,1/2/2022 11:29,21,15,244,0,2003,Airbus,A320,1
1/2/2022,0,B6,385,N183JB,JFK,RDU,1/2/2022 0:53,1/2/2022 21:35,17,198,77,0,2005,Embraer,E190,1
1/2/2022,0,B6,795,N510JB,JFK,AUS,1/2/2022 0:00,1/2/2022 9:59,0,0,0,1,2000,Airbus,A320,1
